Area,Category,Item,Description,Date,Orders,Type of Order
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,02-10-2022,18,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,15-03-2022,111,Online
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,29-06-2023,161,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,24-08-2022,131,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,30-07-2022,15,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,25-07-2022,152,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,05-04-2022,111,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,05-10-2023,20,Dining
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,27-04-2023,132,Dining
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",17-12-2021,142,Dining
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,04-10-2022,133,Takeaway
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,24-06-2022,46,Takeaway
Arcadia Bay,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",07-03-2023,1,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,16-02-2023,28,Online
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,13-11-2021,161,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,30-07-2022,28,Takeaway
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,16-05-2023,43,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,21-09-2023,141,Online
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,10-01-2023,44,Online
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,21-08-2022,57,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,10-07-2023,140,Online
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,31-08-2023,129,Dining
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",19-04-2022,11,Takeaway
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",10-01-2023,164,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,22-01-2023,158,Dining
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",29-07-2022,180,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,30-10-2023,154,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",09-02-2023,33,Takeaway
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,29-06-2023,83,Dining
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",06-09-2023,166,Online
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,14-10-2022,143,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,25-03-2023,46,Takeaway
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,08-02-2023,70,Takeaway
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,01-04-2023,190,Online
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,07-12-2021,41,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,12-09-2022,57,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,22-03-2023,172,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,25-05-2023,114,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",15-01-2023,160,Takeaway
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,15-03-2022,144,Takeaway
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",19-07-2022,159,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,27-12-2022,182,Takeaway
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,06-09-2022,151,Online
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,24-12-2022,68,Dining
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",09-08-2023,66,Takeaway
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",12-09-2023,134,Dining
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,05-05-2022,83,Online
Mystic Falls,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,19-02-2023,194,Dining
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,18-08-2023,136,Online
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,17-01-2022,110,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,04-11-2021,74,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,10-11-2022,152,Takeaway
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,24-06-2023,46,Online
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,28-01-2023,167,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,20-06-2023,15,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",04-05-2023,24,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,17-07-2022,178,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,24-04-2022,150,Dining
Arcadia Bay,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",28-12-2021,29,Takeaway
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,25-03-2022,110,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,14-03-2022,185,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,05-04-2023,164,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,04-11-2022,53,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",05-11-2022,110,Dining
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,06-11-2021,174,Dining
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,14-01-2022,158,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",16-03-2023,80,Dining
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,10-05-2022,155,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,01-10-2022,172,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,29-08-2023,35,Online
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",14-02-2022,152,Takeaway
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,05-03-2022,172,Dining
Arcadia Bay,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,26-03-2022,108,Online
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,26-02-2023,15,Dining
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,12-04-2023,137,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",29-03-2022,10,Takeaway
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,25-12-2022,111,Dining
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,15-09-2023,63,Takeaway
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,12-03-2022,192,Dining
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,09-07-2023,100,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,07-09-2022,77,Online
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,10-11-2021,181,Online
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,27-08-2022,86,Online
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,08-08-2022,79,Online
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,16-02-2022,199,Online
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",11-07-2022,16,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,19-09-2022,165,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,04-11-2021,92,Dining
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,01-05-2022,199,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,15-02-2023,23,Dining
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,01-03-2022,3,Dining
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,14-02-2023,194,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",06-06-2023,185,Takeaway
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,31-07-2022,196,Takeaway
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",28-06-2023,107,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,27-06-2022,87,Dining
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,04-03-2023,145,Online
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,31-05-2022,67,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",15-06-2022,59,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,29-10-2022,183,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,09-07-2023,145,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,25-08-2023,64,Dining
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,17-03-2023,58,Dining
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,16-01-2022,84,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,09-06-2022,44,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,27-05-2022,190,Dining
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,21-03-2022,172,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",17-08-2023,9,Takeaway
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,21-08-2022,57,Dining
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,19-08-2023,21,Dining
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",28-11-2021,81,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",09-01-2023,42,Dining
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",27-01-2023,113,Takeaway
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,18-08-2023,36,Online
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,02-01-2023,142,Takeaway
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,06-11-2022,142,Online
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,22-09-2023,84,Online
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,14-01-2022,143,Takeaway
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,13-05-2022,25,Takeaway
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",12-05-2022,81,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,08-01-2023,155,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,31-07-2023,21,Online
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,02-04-2023,159,Takeaway
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",07-09-2023,34,Takeaway
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,17-02-2023,10,Takeaway
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,02-05-2022,102,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,06-05-2022,93,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,20-03-2023,31,Takeaway
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,06-07-2022,90,Takeaway
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,04-01-2023,55,Online
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,15-05-2023,196,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",19-04-2022,23,Takeaway
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,10-05-2023,36,Takeaway
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,07-01-2022,179,Dining
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",06-09-2022,135,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,24-07-2022,42,Dining
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,15-09-2023,200,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,28-10-2022,86,Takeaway
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,03-08-2022,98,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,13-02-2023,157,Takeaway
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,12-12-2021,31,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,09-03-2023,57,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,03-09-2023,184,Online
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,05-08-2023,116,Takeaway
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,08-12-2021,162,Takeaway
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",14-06-2022,113,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,02-12-2022,156,Takeaway
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,29-10-2023,66,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",14-10-2023,134,Online
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,27-11-2022,29,Takeaway
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,19-09-2022,109,Takeaway
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",25-03-2023,128,Takeaway
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,01-09-2022,176,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,25-01-2023,60,Dining
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,19-04-2022,149,Online
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",12-08-2022,69,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,27-02-2023,182,Online
